angle_deg,shared_amplitude,checkerboard_amplitude
-77.55,0.0079307563214814,0.0165329484268097
-77.5,0.00768870470252341,0.0160370393294625
-77.45,0.00744502568166663,0.0155372307497817
-77.4,0.00719973367746778,0.015033543089309
-77.35,0.00695284366061048,0.0145259978946186
-77.3,0.00670437115908475,0.0140146178717385
-77.25,0.00645433226329264,0.0134994269005019
-77.2,0.00620274363108231,0.0129804500488328
-77.15,0.00594962249270316,0.0124577135869535
-77.1,0.0056949866556735,0.011931245001504
-77.05,0.00543885450957163,0.0114010730095777
-77,0.00518124503072911,0.0108672275726552
-76.95,0.00492217778683602,0.010329739910431
-76.9,0.00466167294145308,0.00978864251453542
-76.85,0.00439975125841839,0.00924396916213824
-76.8,0.00413643410615679,0.00869575492941919
-76.75,0.00387174346188132,0.00814403620491459
-76.7,0.00360570191568171,0.00758885070271589
-76.65,0.00333833267450359,0.00703023747552693
-76.6,0.00306965956601125,0.00646823692756202
-76.55,0.0027997070423232,0.00590289082728263
-76.5,0.00252850018362788,0.00533424231995747
-76.45,0.00225606470167235,0.0047623359400536
-76.4,0.00198242694311312,0.00418721762342574
-76.35,0.0017076138927386,0.00360893471932655
-76.3,0.00143165317654079,0.00302753600219688
-76.25,0.00115457306465657,0.00244307168325659
-76.2,0.000876402474150094,0.00185559342186177
-76.15,0.00059717097164694,0.00126515433664214
-76.1,0.000316908775819874,0.000671809016398383
-76.05,3.56467596978993e-05,7.56135307408734e-05
-76,0.000246583547166849,0.000523374559510874
-75.95,0.000529749956720008,0.00112509619220793
-75.9,0.000813819620579598,0.00172949079402317
-75.85,0.00109875902840371,0.00233649627088439
-75.8,0.00138453400642293,0.00294604899870501
-75.75,0.00167110971616723,0.00355808381441405
-75.7,0.00195845065337391,0.0041725340073016
-75.65,0.00224652064709611,0.0047893313106907
-75.6,0.00253528285899598,0.00540840589393414
-75.55,0.00282469978284955,0.00602968635475849
-75.5,0.00311473324424936,0.00665309971195924
-75.45,0.00340534440051786,0.00727857139846079
-75.4,0.00369649374083675,0.00790602525474679
-75.35,0.00398814108658665,0.00853538352267133
-75.3,0.00428024559191243,0.00916656683966784
-75.25,0.00457276574451913,0.00979949423336386
-75.2,0.00486565936668394,0.0104340831165971
-75.15,0.00515888361651473,0.0110702492828709
-75.1,0.00545239498943992,0.0117079069022403
-75.05,0.00574614931994171,0.0123469685176353
-75,0.00604010178353777,0.0129873450416573
-74.95,0.00633420689900754,0.0136289457538241
-74.9,0.00662841853087754,0.0142716782983078
-74.85,0.0069226898921661,0.0149154486821591
-74.8,0.00721697354738342,0.0155601612740189
-74.75,0.00751122141580696,0.0162057188033599
-74.7,0.00780538477501986,0.016852022360238
-74.65,0.00809941426472885,0.0174989713955775
-74.6,0.00839325989085564,0.0181464637220018
-74.55,0.00868687102991558,0.0187943955152222
-74.5,0.00898019643367861,0.0194426613159857
-74.45,0.00927318423412025,0.0200911540326058
-74.4,0.00956578194866906,0.0207397649440805
-74.35,0.00985793648574818,0.0213883837038069
-74.3,0.0101495941506194,0.0220368983439066
-74.25,0.0104407006515302,0.0226851952801765
-74.2,0.0107312011061723,0.0233331593176683
-74.15,0.0110210400484502,0.0239806736569113
-74.1,0.0113101614355607,0.0246276199007924
